komsat;jns_karantina;komoditas;satuan;harga
amphibia lainnya/ekor;H;Amphibia Lainnya;ekor;1
angsa/kilogram;H;Angsa;kilogram;40.000
anjing/ekor;H;Anjing;ekor;2.000.000
anjing/botol;H;Anjing;botol;1
anjing/box;H;Anjing;box;1
anjing/buah/butir/batang;H;Anjing;buah/butir/batang;1
anti-serum/botol;H;Anti-Serum;botol;100.000
anti-serum/box;H;Anti-Serum;box;100.000
anti-serum/gram;H;Anti-Serum;gram;100.000
anti-serum/kemasan;H;Anti-Serum;kemasan;100.000
anti-serum/vial;H;Anti-Serum;vial;100.000
anti-serum/buah/butir/batang;H;Anti-Serum;buah/butir/batang;1
anti-serum/kilogram;H;Anti-Serum;kilogram;100.000
antigen/box;H;Antigen;box;100.000
antigen/kemasan;H;Antigen;kemasan;100.000
antigen/vial;H;Antigen;vial;100.000
antigen/buah/butir/batang;H;Antigen;buah/butir/batang;1
antigen/kilogram;H;Antigen;kilogram;100.000
ayam/ekor;H;Ayam;ekor;50.000
ayam/buah/butir/batang;H;Ayam;buah/butir/batang;1
ayam/number of international units;H;Ayam;number of international units;1
ayam/vial;H;Ayam;vial;1
ayam/kilogram;H;Ayam;kilogram;50.000
ayam bangkok/ekor;H;Ayam Bangkok;ekor;500.000
ayam ketawa/ekor;H;Ayam Ketawa;ekor;500.000
babi/ekor;H;Babi;ekor;2.500.000
bahan biologis lainnya/buah/butir/batang;H;Bahan Biologis Lainnya;buah/butir/batang;1
bahan biologis lainnya/bulk;H;Bahan Biologis Lainnya;bulk;1
bahan biologis lainnya/drum;H;Bahan Biologis Lainnya;drum;1
bahan biologis lainnya/each;H;Bahan Biologis Lainnya;each;1
bahan biologis lainnya/ekor;H;Bahan Biologis Lainnya;ekor;1
bahan biologis lainnya/number of international units;H;Bahan Biologis Lainnya;number of international units;1
bahan biologis lainnya/number of packs;H;Bahan Biologis Lainnya;number of packs;1
bahan biologis lainnya/pail;H;Bahan Biologis Lainnya;pail;1
bahan biologis lainnya/pallet (lift);H;Bahan Biologis Lainnya;pallet (lift);1
bahan biologis lainnya/bag;H;Bahan Biologis Lainnya;bag;1
bahan biologis lainnya/botol;H;Bahan Biologis Lainnya;botol;1
bahan biologis lainnya/box;H;Bahan Biologis Lainnya;box;1
bahan biologis lainnya/gram;H;Bahan Biologis Lainnya;gram;1
bahan biologis lainnya/kemasan;H;Bahan Biologis Lainnya;kemasan;1
bahan biologis lainnya/kit;H;Bahan Biologis Lainnya;kit;1
bahan biologis lainnya/lembar;H;Bahan Biologis Lainnya;lembar;1
bahan biologis lainnya/liter;H;Bahan Biologis Lainnya;liter;1
