jns_karantina;komoditas;satuan;harga;Komsat
H;Whey;ton;1.000.000.000;Whey/ton
T;BENIH BUNGA KOL;kilogram;963.000.000;BENIH BUNGA KOL/kilogram
T;DAUN NILAM;kilogram;807.000.000;DAUN NILAM/kilogram
T;KAYU EBONY;meter kubik;716.000.000;KAYU EBONY/meter kubik
T;BIBIT JABON;meter kubik;708.000.000;BIBIT JABON/meter kubik
T;LAIN-LAIN;peti kemas;550.000.000;LAIN-LAIN/peti kemas
T;BIBIT TOMAT;kilogram;527.000.000;BIBIT TOMAT/kilogram
T;KAYU JATI/FURNITURE;meter kubik;425.000.000;KAYU JATI/FURNITURE/meter kubik
I;Mutiara;kilogram;410.000.000;Mutiara/kilogram
T;KERTAS;meter kubik;380.000.000;KERTAS/meter kubik
T;KERAJINAN TANGAN;meter kubik;261.000.000;KERAJINAN TANGAN/meter kubik
T;BUNGA PINUS;meter kubik;204.000.000;BUNGA PINUS/meter kubik
T;KAYU JATI;meter kubik;169.000.000;KAYU JATI/meter kubik
H;Daging Kerbau;ton;150.000.000;Daging Kerbau/ton
H;Daging Sapi;ton;150.000.000;Daging Sapi/ton
I;Kerang Mutiara;kilogram;123.000.000;Kerang Mutiara/kilogram
T;KAYU BALSA;meter kubik;122.000.000;KAYU BALSA/meter kubik
T;EUCALYPTUS SAWN TIMBER;meter kubik;117.000.000;EUCALYPTUS SAWN TIMBER/meter kubik
T;BUAH NANGKA;meter kubik;116.000.000;BUAH NANGKA/meter kubik
T;THYMUS;kilogram;90.592.788;THYMUS/kilogram
H;Jerohan Sapi;ton;90.000.000;Jerohan Sapi/ton
T;BENIH KAYU AFRIKA;meter kubik;81.809.314;BENIH KAYU AFRIKA/meter kubik
T;KAYU NANGKA;meter kubik;78.121.000;KAYU NANGKA/meter kubik
T;KAYU CEDAR;meter kubik;72.867.648;KAYU CEDAR/meter kubik
T;BUNGA TAPAK DARA;kilogram;71.654.258;BUNGA TAPAK DARA/kilogram
T;TEMBAKAU KERING;meter kubik;63.745.020;TEMBAKAU KERING/meter kubik
T;KOPI BIJI;meter kubik;58.656.108;KOPI BIJI/meter kubik
T;ROTAN;meter kubik;57.386.936;ROTAN/meter kubik
I;Telur Ikan;kilogram;54.002.496;Telur Ikan/kilogram
T;JELUTUNG;meter kubik;50.000.000;JELUTUNG/meter kubik
T;KAYU MERBAU;meter kubik;48.087.738;KAYU MERBAU/meter kubik
